Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
esp32-nodemcu-devkit-v1,ESP32 NodeMCU DevKit v1 (30-Pin WiFi+BLE),"<p>High performance 240MHz dual-core Tensilica LX6 microcontroller with integrated 802.11 b/g/n Wi-Fi and Bluetooth v4.2 BR/EDR and BLE. Perfect for IoT automation, edge telemetry, and wireless sensor nodes.</p>",Espressif / JonTech,Electronics > Electronics Accessories > Microcontrollers,Microcontroller,"Microcontroller, IoT, WiFi, Bluetooth, ESP32, Prototyping",TRUE,Edition,30-Pin CP2102 USB-C,,,,,JT-MCU-ESP32-30P,50,shopify,45,deny,manual,280.00,320.00,TRUE,TRUE,,https://images.unsplash.com/photo-1553406830-ef2513450d76?w=800&auto=format&fit=crop&q=80,1,ESP32 NodeMCU DevKit v1 Microcontroller Board,FALSE,ESP32 NodeMCU DevKit v1 (30-Pin WiFi+BLE) | JonTech Electronics,Buy ESP32 NodeMCU DevKit v1 (30-Pin WiFi+BLE) at JonTech Electronics with fast shipping and warranty.,active
arduino-uno-r3,Arduino Uno R3 (ATmega328P + CH340G),"<p>The industry standard development board for electronics education and rapid prototyping. Features 14 digital I/O pins, 6 analog inputs, 16 MHz quartz crystal, USB connection, and ICSP header.</p>",Arduino / JonTech,Electronics > Electronics Accessories > Microcontrollers,Microcontroller,"Microcontroller, Arduino, School, STEM, Prototyping",TRUE,Edition,DIP Edition + USB Cable,,,,,JT-MCU-UNO-R3,65,shopify,32,deny,manual,350.00,399.00,TRUE,TRUE,,https://upload.wikimedia.org/wikipedia/commons/3/38/Arduino_Uno_-_R3.jpg,1,Arduino Uno R3 Microcontroller Board,FALSE,Arduino Uno R3 (ATmega328P + CH340G) | JonTech Electronics,Buy Arduino Uno R3 (ATmega328P + CH340G) at JonTech Electronics with fast shipping and warranty.,active
raspberry-pi-4-model-b-4gb,Raspberry Pi 4 Model B (4GB RAM),"<p>Quad-core 64-bit ARM Cortex-A72 processor at 1.5GHz, dual 4K micro-HDMI display outputs, USB 3.0, Gigabit Ethernet, and 4GB LPDDR4 RAM. Ideal for Edge AI, local machine learning, and ROS robotics.</p>",Raspberry Pi Foundation,Electronics > Computers > Single-Board Computers,Single Board Computer,"SBC, Raspberry Pi, Linux, Edge AI, Prototyping",TRUE,Edition,Quad-Core 64-bit Linux,,,,,JT-SBC-RPI4-4GB,95,shopify,12,deny,manual,3899.00,4299.00,TRUE,TRUE,,https://upload.wikimedia.org/wikipedia/commons/f/f1/Raspberry_Pi_4_Model_B_-_Side.jpg,1,Raspberry Pi 4 Model B Single Board Computer,FALSE,Raspberry Pi 4 Model B (4GB RAM) | JonTech Electronics,Buy Raspberry Pi 4 Model B (4GB RAM) at JonTech Electronics with fast shipping and warranty.,active
stm32f401-black-pill,"STM32F401 ""Black Pill"" ARM Cortex-M4 Board","<p>High performance 84MHz 32-bit ARM Cortex-M4 with FPU, 256KB Flash memory, 64KB SRAM, and USB-C connector. Ideal for industrial control, digital signal processing, and high-speed embedded loops.</p>",STMicroelectronics / WeAct,Electronics > Electronics Accessories > Microcontrollers,Microcontroller,"Microcontroller, ARM, STM32, Cortex-M4, Embedded",TRUE,Edition,84MHz 256KB Flash USB-C,,,,,JT-MCU-STM32-F401,35,shopify,28,deny,manual,240.00,280.00,TRUE,TRUE,,https://images.unsplash.com/photo-1608564697071-ddf911d81370?w=800&auto=format&fit=crop&q=80,1,STM32F401 Black Pill ARM Cortex-M4 Board,FALSE,"STM32F401 ""Black Pill"" ARM Cortex-M4 Board | JonTech Electronics","Buy STM32F401 ""Black Pill"" ARM Cortex-M4 Board at JonTech Electronics with fast shipping and warranty.",active
dht22-digital-temperature-humidity-sensor,DHT22 Digital Temperature & Humidity Sensor,"<p>Capacitive digital humidity and temperature module. Accurately measures relative humidity from 0 to 100% and temperature from -40 to 80°C with calibrated 1-wire digital output.</p>",JonTech Sensors,Electronics > Sensors > Environmental Sensors,Environmental Sensor,"Sensor, Temperature, Humidity, IoT, DHT22",TRUE,Edition,High-Precision Module,,,,,JT-SEN-DHT22-MOD,20,shopify,50,deny,manual,195.00,240.00,TRUE,TRUE,,https://upload.wikimedia.org/wikipedia/commons/5/5b/DHT22_digital_temperature_and_humidity_sensor_module_pcb.jpg,1,DHT22 Digital Temperature and Humidity Sensor,FALSE,DHT22 Digital Temperature & Humidity Sensor | JonTech Electronics,Buy DHT22 Digital Temperature & Humidity Sensor at JonTech Electronics with fast shipping and warranty.,active
hc-sr04-ultrasonic-distance-sensor,HC-SR04 Ultrasonic Distance Sensor,"<p>Non-contact ultrasonic range finder module. Provides 2cm to 400cm non-contact measurement with 3mm accuracy. The module includes ultrasonic transmitter, receiver, and control circuit.</p>",JonTech Sensors,Electronics > Sensors > Distance Sensors,Distance Sensor,"Sensor, Ultrasonic, Robotics, Obstacle Avoidance, School",TRUE,Edition,5V Echo Transducer,,,,,JT-SEN-HCSR04-5V,15,shopify,60,deny,manual,85.00,110.00,TRUE,TRUE,,https://images.unsplash.com/photo-1518770660439-4636190af475?w=800&auto=format&fit=crop&q=80,1,HC-SR04 Ultrasonic Distance Sensor Module,FALSE,HC-SR04 Ultrasonic Distance Sensor | JonTech Electronics,Buy HC-SR04 Ultrasonic Distance Sensor at JonTech Electronics with fast shipping and warranty.,active
096-inch-i2c-oled-display,0.96 inch I2C OLED Display (128x64),"<p>High contrast 128x64 pixel self-illuminating graphical OLED display. Standard 4-pin I2C interface (GND, VCC, SCL, SDA). Crisp readability in direct light without requiring a backlight.</p>",JonTech Displays,Electronics > Displays > OLED Displays,Display Module,"Display, OLED, I2C, 128x64, Telemetry",TRUE,Edition,4-Pin I2C Blue/White,,,,,JT-DSP-OLED096-I2C,15,shopify,35,deny,manual,145.00,180.00,TRUE,TRUE,,https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?w=800&auto=format&fit=crop&q=80,1,0.96 inch I2C OLED Display Module 128x64,FALSE,0.96 inch I2C OLED Display (128x64) | JonTech Electronics,Buy 0.96 inch I2C OLED Display (128x64) at JonTech Electronics with fast shipping and warranty.,active
4-channel-5v-relay-module,4-Channel 5V Relay Module with Optocoupler,"<p>Opto-isolated 4-channel 5V relay expansion board. Controls high voltage and high current AC/DC appliances (up to 250VAC 10A or 30VDC 10A) with optical isolation protecting your microcontroller.</p>",JonTech Power,Electronics > Electronics Accessories > Relays,Relay & Power Switch,"Relay, Power, 5V, Optocoupler, Industrial, Automation",TRUE,Edition,250VAC 10A Active Low,,,,,JT-MOD-RELAY4-5V,60,shopify,22,deny,manual,165.00,210.00,TRUE,TRUE,,https://images.unsplash.com/photo-1581092160607-ee22621dd758?w=800&auto=format&fit=crop&q=80,1,4-Channel 5V Relay Module with Optocoupler,FALSE,4-Channel 5V Relay Module with Optocoupler | JonTech Electronics,Buy 4-Channel 5V Relay Module with Optocoupler at JonTech Electronics with fast shipping and warranty.,active
l298n-dual-h-bridge-dc-motor-driver,L298N Dual H-Bridge DC Motor Driver,"<p>High power dual H-bridge motor driver module based on the ST L298N chip. Capable of driving two DC motors bidirectionally with speed control (PWM) or one 4-wire two-phase stepper motor up to 2A per channel.</p>",JonTech Robotics,Electronics > Electronics Accessories > Motor Controllers,Motor Controller,"Motor Driver, Robotics, L298N, DC Motor, Stepper",TRUE,Edition,2A Peak Driver Board,,,,,JT-MOD-L298N-2A,50,shopify,30,deny,manual,120.00,160.00,TRUE,TRUE,,https://images.unsplash.com/photo-1591488320449-011701bb6704?w=800&auto=format&fit=crop&q=80,1,L298N Dual H-Bridge DC Motor Driver Board,FALSE,L298N Dual H-Bridge DC Motor Driver | JonTech Electronics,Buy L298N Dual H-Bridge DC Motor Driver at JonTech Electronics with fast shipping and warranty.,active
sg90-9g-micro-servo-motor,SG90 9g Micro Servo Motor,"<p>Lightweight high-efficiency micro servo motor with 180-degree rotation. Weighs only 9 grams with 1.6 kg-cm stall torque. Includes 3 servo horns, mounting screws, and a standard 3-pin connector.</p>",TowerPro / JonTech,Electronics > Electronics Accessories > Servos,Actuator & Servo,"Servo, Motor, SG90, Robotics, RC",TRUE,Edition,180-Degree Nylon Gear,,,,,JT-ACT-SG90-9G,12,shopify,40,deny,manual,95.00,125.00,TRUE,TRUE,,https://images.unsplash.com/photo-1581092580497-e0d23cbdf1dc?w=800&auto=format&fit=crop&q=80,1,SG90 9g Micro Servo Motor with Horns,FALSE,SG90 9g Micro Servo Motor | JonTech Electronics,Buy SG90 9g Micro Servo Motor at JonTech Electronics with fast shipping and warranty.,active
